wav,id,ew
3670.91,Sm I,13.0
3671.222,V I,8.0
3671.276,Zr I,37.0
3671.524,Fe I,43.0
3671.682,T I,67.0
3672.124,Fe I,16.0
3672.316,Dy I,10.0
3672.606,Zr I,6.0
3672.712,Fc I,68.0
3672.803,Ce I,5.0
3673.226,CH,44.0
3673.426,V I,40.0
3673.543,Nd I,9.0
3673.683,Fe I,31.0
3673.888,Fe I,63.0
3674.15,N I,178.0
3674.413,Fe I,58.0
3674.923,Cr I,2.5
3674.999,Ir I,11.0
3675.294,Ca I,42.0
3675.449,Fe I,25.0
3675.689,V I,38.0
3675.766,Fe I,24.0
3675.976,Fe I,18.0
3676.322,Fe I,102.0
3676.562,Co I,66.0
3676.7,V I,6.0
3676.878,Fe I,73.0
3676.962,Mn I,13.0
3677.318,Fe I,93.0
3677.462,Fe I,85.0
3677.514,Fe I,32.0
3677.628,Fe I,147.0
3677.695,Cr I,48.0
3677.855,Cr I,98.0
3677.909,Fe I,88.0
3678.1,CH,35.0
3678.234,Ca I,67.0
3678.728,Mn I,3.0
3678.869,Fe I,89.0
3679.002,Fe I,64.0
3679.351,Fe I,35.0
3679.539,Fe I,29.0
3679.685,T I,43.0
3679.811,Cr I,22.0
3680.125,V I,4.5
3680.211,Cr I,6.5
3680.389,Fe I,52.0
3680.665,Fe I,70.0
3680.802,Fe I,128.0
3680.944,Fe I,66.0
3681.117,N I,7.0
3681.23,Fe I,59.0
3681.364,Co I,4.5
3681.653,Fe I,72.0
3681.884,Fe I,30.0
3682.024,Mn I,15.0
3683.092,Fe V,166.0
3683.48,Pb I,10.0
3683.623,Fe I,52.0
3684.222,Cr I,8.5
3684.322,V I,10.0
3684.462,Co I,11.0
3684.542,Fe I,38.0
3685.196,Ti II,275.0
3685.527,Cr I,56.0
3685.662,Fe I,11.0
3685.775,Nd I,15.0
3686.004,Fe I,151.0
3686.188,Cr I,7.0
3686.263,Fe I,85.0
3686.472,Co I,7.5
3686.674,Cr I,22.0
3686.787,Cr I,44.0
3687.102,Fe I,73.0
3687.241,Cr I,14.0
3687.334,Cr I,13.0
3687.466,Fe I,564.0
3687.551,Cr I,3.5
3687.66,Fe I,59.0
3687.76,Gd I,2.5
3687.866,CH,16.0
3687.986,Nb I,1.5
3688.071,V I,32.0
3688.173,Fe I,47.0
3688.874,Fe I,27.0
3689.002,Fe I,52.0
3689.08,Fe I,40.0
3689.32,N I,68.0
3689.469,Fe I,158.0
3689.63,Cr I,9.5
3689.88,Fe I,79.0
3690.066,Ru I,15.0
3690.281,V I,39.0
3690.459,Fe I,63.0
3690.731,Fe I,86.0
3691.176,Fe I,8.5
3691.314,Fe I,50.0
3691.963,Fe I,3.0
3692.226,V I,40.0
3692.36,Rh I,6.0
3692.44,O I,2.0
3692.57,Zr I,4.5
3692.65,Fe I,47.0
3692.816,Mn I,11.0
3693.032,Fe I,86.0
3693.12,Co I,35.0
3693.366,Co I,26.0
3693.478,Co I,61.0
3693.666,Mn I,36.0
