wavelength,ew,id
3707.052,121.0,Fe I
3707.562,83.0,T I
3707.929,114.0,Fe I
3708.611,53.0,Fe I
3709.031,60.0,Fe I
3709.256,573.0,Fe I
3709.953,39.0,Ce I
3710.292,74.0,Y II
3711.229,83.0,Fe I
3711.412,66.0,Fe I
3711.97,333.0,H 15
3712.717,9.0,Cr II
3712.898,111.0,Cr II
3713.714,22.0,N I
3713.834,2.5,CN
3714.407,3.0,Cr I
3715.18,58.0,Cr II
3715.397,105.0,Ti I
3715.916,80.0,Fe I
3716.451,166.0,Gd I
3717.072,3.0,Nb I
3717.397,48.0,Ti I
3718.152,38.0,V I
3718.412,77.0,Fe I
3718.839,7.0,CN
3719.458,7.0,N I
3719.947,1664.0,Fe I
3720.26,11.0,Zr I
3721.185,58.0,Fe I
3721.635,110.0,Ti II
3721.94,536.0,H 14
3722.588,694.0,T I
3722.758,8.0,Fe I
3723.609,47.0,T I
3724.092,43.0,T I
3724.385,124.0,Fe I
3724.829,52.0,N I
3725.496,67.0,Fe I
3726.023,14.0,N I
3726.665,37.0,Co I
3726.92,202.0,Fe I
3727.347,59.0,V II
3728.042,40.0,Ru I
3728.671,73.0,Fe I
3728.954,80.0,N I
3729.339,10.0,Fe I
3729.813,83.0,Ti I
3730.392,118.0,Fe I
3730.756,106.0,N I
3731.381,80.0,Fe I
3732.035,54.0,Cr I
3732.406,142.0,Fe I
3732.752,64.0,V II
3733.33,228.0,Fe I
3734.135,17.0,Co I
3734.536,13.0,H 13
3734.874,3027.0,Fe I
3735.334,69.0,Fe I
3735.898,27.0,Co I
3736.476,11.0,CN
3737.141,1071.0,Fe I
3737.576,78.0,Cr I
3737.758,6.0,CN
3738.363,136.0,Cr I
3739.228,104.0,N I
3739.529,112.0,Fe I
3740.064,65.0,Fe I
3740.464,4.0,CN
3741.065,93.0,T I
3741.645,133.0,Ti II
3742.146,66.0,Fe I
3742.95,75.0,Fe I
3743.368,592.0,Fe I
3743.888,74.0,Cr I
3744.493,84.0,Cr I
3744.756,3.5,CN
3745.574,1202.0,Fe I
3745.91,540.0,Fe I
3746.475,72.0,Fe I
3747.552,44.0,Y I
3748.0,50.0,V I
3748.271,497.0,Fe I
3748.966,103.0,Fe I
3749.495,1907.0,Fe I
3749.938,13.0,Co I
3750.678,27.0,Fe I
3751.09,32.0,Fe I
3751.592,42.0,Zr I
3751.824,50.0,Fe I
3752.418,78.0,Fe I
3752.86,95.0,T I
3753.62,132.0,Fe I
3753.751,12.0,Dy I
3754.578,120.0,Cr I
3755.134,13.0,CN
3755.452,44.0,Co I
3756.072,65.0,Fe I
3756.65,7.5,CN
3756.941,96.0,Fe I
3757.684,92.0,T I
3757.81,14.0,Zr I
3758.316,3.0,Fe I
3759.075,29.0,La I
3759.299,334.0,Ti II
3760.224,24.0,H 12
3760.537,100.0,Fe I
3761.067,46.0,Fe I
3761.32,277.0,T I
3761.874,78.0,Cr II
3762.309,75.0,CN
3762.87,16.0,CN
3763.476,14.0,Nd I
3763.803,829.0,Fe I
3764.384,28.0,Sm I
3764.849,5.0,CN
3765.551,174.0,Fe I
3766.094,56.0,Fe I
3766.666,78.0,Fe I
3767.204,820.0,Fe I
3767.437,20.0,Cr I
3768.034,78.0,Fe I
3768.733,44.0,Cr I
3769.019,21.0,Cr I
3769.722,5.0,CN
3769.994,77.0,Fe I
3770.63,1860.0,H 11
3770.972,44.0,V I
3771.658,62.0,T I
3772.104,19.0,CN
3772.533,86.0,N I
3772.931,24.0,V I
3773.699,88.0,Fe I
3774.033,13.0,CN
3774.336,74.0,Y II
3774.832,100.0,Fe I
3775.578,144.0,N I
3776.059,84.0,Ti II
3776.461,90.0,Fe I
3777.074,68.0,Fe I
3777.456,94.0,Fe I
3778.066,66.0,N I
3778.515,88.0,Fe I
3778.798,58.0,CN
3779.731,24.0,CN
3779.808,16.0,CN
3780.516,26.0,CN
3781.19,76.0,Fe I
3781.516,18.0,Fe I
3781.938,70.0,Fe I
3782.453,74.0,Fe I
3783.085,11.0,CN
3783.535,164.0,Fe II
3783.818,29.0,CN
3784.252,16.0,Nd I
3785.013,6.0,CN
3785.707,96.0,Fe I
3786.175,144.0,Fe I
3786.682,132.0,Fe I
3787.166,139.0,Fe I
3787.482,6.5,CN
3787.891,512.0,Fe I
3788.701,84.0,Y I
3789.184,110.0,Fe I
3789.577,56.0,Fe I
3790.098,179.0,Fe I
3790.657,157.0,Fe I
3790.759,119.0,Fe I
3791.509,75.0,Fe I
3792.079,110.0,CN
3792.651,121.0,CN
3792.832,72.0,Fe I
3793.605,123.0,N I
3793.876,80.0,Cr I
3794.615,22.0,La II
3794.773,48.0,La II
3795.538,65.0,Fe I
3796.186,31.0,CN
3796.496,15.0,Zr I
3796.887,76.0,Ti I
3797.522,103.0,Fe I
3797.954,54.0,H 10
3798.521,304.0,Fe I
3798.903,20.0,Ru I
3799.558,622.0,Fe I
3800.034,58.0,CN
3800.546,34.0,Mn I
3801.113,33.0,T I
3801.371,75.0,Fe I
3801.99,105.0,Fe I
3802.285,80.0,Fe I
3803.09,61.0,CN
3803.482,42.0,V I
3804.015,100.0,Fe I
3804.612,68.0,CN
3804.793,95.0,CN
3805.349,171.0,Fe I
3806.219,105.0,Fe I
3806.718,209.0,Mn I
3807.151,193.0,N I
3807.544,178.0,Fe I
3807.937,111.0,Cr I
3808.734,114.0,Fe I
3809.049,85.0,Fe I
3809.586,132.0,V I
3809.921,20.0,CN
3810.54,41.0,CN
3810.76,120.0,Fe I
3811.298,67.0,N I
3811.894,147.0,Fe I
3812.448,18.0,Co I
3812.962,322.0,Fe I
3813.394,138.0,Ti II
3814.122,38.0,Fe I
3814.358,22.0,CN
3814.892,26.0,CN
3815.437,51.0,Cr I
3815.851,1272.0,Fe I
3816.345,100.0,Fe I
3816.922,80.0,Fe I
3817.382,34.0,CN
3818.195,75.0,CN
3818.345,55.0,Y I
3819.063,49.0,CN
3819.494,83.0,Eu II
3819.961,21.0,V I
3820.436,1712.0,L-band
3821.187,93.0,Fe I
3821.728,52.0,CN
3821.84,130.0,Fe II
3822.328,86.0,CN
3822.856,75.0,CN
3823.514,116.0,Mn I
3823.895,93.0,Mn I
3824.452,519.0,Fe I
3824.926,52.0,Fe I
3825.408,40.0,Fe I
3825.891,1519.0,Fe I
3826.709,58.0,CN
3826.852,88.0,Fe I
3827.58,73.0,Fe I
3827.832,897.0,Fe I
3828.51,94.0,Fe I
3829.154,77.0,Fe I
3829.365,874.0,Mg I
3830.076,50.0,CN
3830.609,43.0,CN
3831.037,77.0,Cr I
3831.7,129.0,Ni I
3831.888,26.0,Ni I
3832.31,1685.0,Mg I
3832.888,51.0,N I
3833.317,53.0,Fe I
3834.233,624.0,Fe I
3834.371,21.0,Fe I
3835.161,68.0,CN
3835.39,2362.0,H 9
3836.09,58.0,Ti I
3836.501,80.0,CN
3837.141,54.0,Fe I
3837.635,46.0,CN
3837.823,55.0,CN
3838.302,1920.0,Mg I
3838.751,63.0,CN
3839.263,104.0,Fe I
3839.785,82.0,Fe I
3840.447,567.0,Fe I
3841.058,517.0,Fe I
3841.73,124.0,CN
3842.054,126.0,Co I
3842.644,46.0,CN
3842.903,26.0,Fe I
3843.715,145.0,Fe I
3844.131,126.0,CN
3844.448,53.0,V I
3845.02,72.0,CN
3845.47,135.0,Co I
3845.993,104.0,Fe I
3846.417,105.0,Fe I
3846.809,160.0,Fe I
3847.339,53.0,V I
3847.848,146.0,CN
3848.297,92.0,Fe I
3849.006,121.0,Cr I
3849.367,88.0,Cr I
3849.977,608.0,Fe I
3850.492,65.0,V I
3850.826,222.0,Fe I
3851.291,102.0,CN
3852.217,63.0,Cr I
3852.579,148.0,Fe I
3853.203,82.0,Cr I
3853.732,58.0,T I
3854.211,81.0,CN
3854.571,189.0,CN
3854.854,84.0,CN
3855.412,151.0,V I
3855.851,96.0,Fe I
3856.381,648.0,Fe I
3857.154,54.0,CN
3857.667,149.0,Cr I
3857.819,73.0,CN
3858.303,202.0,N I
3858.917,131.0,CN
3859.28,108.0,CN
3859.922,1554.0,Fe I
3860.626,61.0,CN
3861.167,104.0,Co I
3861.547,250.0,CN
3861.837,51.0,CN
3862.494,84.0,CN
3863.068,41.0,N I
3863.701,157.0,Fe I
3864.111,46.0,Mo I
3864.492,68.0,CN
3864.874,78.0,V I
3865.533,377.0,Fe I
