wavelength,ew,id
3705.577,562,Fe I
3706.037,290,Ca II
3707.052,121,Fe I
3707.562,83,Ti I
3707.929,114,Fe I
3708.611,53,Fe I
3709.031,60,Fe I
3709.256,573,Fe I
3709.953,39,Ce II
3710.292,74,Y II
3711.229,83,Fe I
3711.412,66,Fe I
3711.970,333,H 15
3712.717,9,Gd II
3712.898,111,Cr II
3713.714,22,Ni I
3713.834,2.5,CN
3714.407,3,Cr I
3715.180,58,Cr II
3715.397,105,Ti I
3715.916,80,Fe I
3716.451,166,Fe I
3717.072,3,Nb II
3717.397,48,Ti I
3718.152,38,V II
3718.412,77,Fe I
3718.839,7,Zr II
3719.458,7,Ni I
3719.947,1664,Fe I
3720.260,11,Zr II
3721.185,58,Fe I
3721.635,110,Ti II
3721.940,536,H 14
3722.588,694,Ti I
3722.758,8,Fe I
3723.609,47,Ti II
3724.092,43,Ti II
3724.385,124,Fe I
3724.829,52,Ni I
3725.496,67,Fe I
3726.023,14,Ni I
3726.665,37,Co I
3726.920,202,Fe I
3727.347,59,V II
3728.042,40,Ru I
3728.671,73,Fe I
3728.954,80,Ni I
3729.339,10,Fe I
3729.813,83,Ti I
3730.392,118,Fe I
3730.756,106,Ni I
3731.381,80,Fe I
3732.035,54,Cr I
3732.406,142,Fe I
3732.752,64,V II
3733.330,228,Fe I
3734.135,17,Co I
3734.536,13,CN
3734.874,3027,Fe I
3735.334,69,Fe I
3735.898,27,Co I
3736.476,11,CN
3737.141,1071,Fe I
3737.576,78,Cr II
3737.758,6,CN
3738.363,136,Cr II
3739.228,104,Ni I
3739.529,112,Fe I
3740.064,65,Fe I
3740.464,4,CN
3741.065,93,Ti I
3741.645,133,Ti II
3742.146,66,Fe I
3742.950,75,Fe I
3743.368,592,Fe I
3743.888,74,Cr I
3744.493,84,Cr I
3744.756,3.5,CN
3745.574,1202,Fe I
3745.910,540,Fe I
3746.475,72,Fe I
3747.552,44,Y II
3748.000,50,V I
3748.271,497,Fe I
3748.966,103,Fe I
3749.495,1907,Fe I
3749.938,13,Co I
3750.678,27,Fe I
3751.090,32,Fe I
3751.592,42,Zr II
3751.824,50,Fe I
3752.418,78,Fe I
3752.860,95,Ti I
3753.620,132,Fe I
3753.751,12,Dy II
