wav,strength,id
8098.9,-2,
8099.418,-1,Atm
8100.43,-3,
8101.09,-3,
8101.382,0,Atm
8101.86,-2,Atm?
8102.285,-1,07
8103.1658,1,Atm
8103.764,-2,of
8104.03,-2Nd',of
8104.709,0,Atm
8105.69,-3,
8105.937,-2,
8106.385,-1,Atm
8106.708,-2,
8107.12,-2,CN
8107.32,-2,©
8107.8435,4,Atm
8108.312,-2,Fe P
8109.018,a,Atm
8109.84,-1,-CN
8110.09,-2,CN
8110.568,a,Atm
8111.01,-3,Atm?
8111.85,-3,of
8112.179,-2,Fe P
8112.406,3,Atm
8113.631,3,Atm
8113.948,4,Atm
8114.69,-1,©
8114.89,0,CN
8115.931,-3,o
8116.73,-2N,-V
8117.301,-2,0?
8118.105,1,Atm
8118.446,-1,Atm
8118.91,2,Atm
8119.7,-3,o
8119.992,-2,Atm ©
8120.661,a,Atm
8121.248,o,Atm
8121.499,1,Atm
8122.22,-3,©
8122.576,3,Atm
8122.82,-1,Atm
8123.316,1,Atm
8123.579,1,Atm
8124.289,-3N,Atm?
8125.054,2N,© Atm
8125.4458,3,Atm
8126.227,-2,CN
8126.48,-3,
8126.852,3,Atm
8127.13,-2,Atm
8127.94,-3N,T1?
8129.35,-3,Fe p
8130.01,2,Atm
8130.23,-1,Atm
8130.46,5,Atm
8131.0,-1,Atm?
8131.213,2,Atm
8131.38,-1,07
8131.709,-2,Atm?
8132.373,ON,Atm o
8133.04,,Zr
8133.2098,2,Atm
8133.564,-1,Atm
8133.777,10,Atm
8134.52,-1,Atm
8135.047,9,Atm
8136.207,1,Atm
8136.525,3,Atm
8137.149,1,Atm
8137.47,-3,o
8137.974,-2-,o
8138.777,1,Atm
8139.718,3,Atm
8140.674,10d,Atm
8141.936,9,Atm
8142.761,-2,o
8143.56,-3,Atm
8143.794,4,Atm
8144.193,1,Atm
8144.515,1,Atm
8144.76,-3,Atm?
8145.478,-1,Fe
8146.2138,5,Atm
8146.67,-3,Fe p
8147.188,5,Atm
8148.078,3,Atm
8175.12,-3,of
8175.72,-3,Atm?
8176.32,-3,
8176.975,(20),Atm
8177.9325,7,Atm
8178.4918,4,Atm
8179.056,7,Atm
8179.48,-3,S1 p
8179.913,0,Atm
8180.23,-3,of
8180.878,-3,o
8181.273,-3,©
8181.8488,9,Atm
8182.25,-3,Atm?
8182.48,-3,o
8183.12,1,Atm
8183.3,11N,Na
8184.207,-3,© Atm?
8184.5,-3,©
8184.78,-3,Atm
8185.34,-3,of
8185.67,-3,Cr?
8186.371,8,Atm
8186.791,2,Fe
8187.852,1N,Atm
8188.11,-3N,o
8189.272,(20),Atm
8190.83,-3,©
8191.02,-1,Atm
8191.61,-3N,Atm?
8192.069,-1,Atm
8192.24,-2,
8192.55,-3,
8193.113,(30),Atm
8193.738,-2,Atm
8194.233,-3,Atm
8194.8365,12N,Na
8195.452,-2,©
8195.98,-3,Atm
8196.51,-2,Fe P
8196.96,-3,©
8197.704,(20),Atm
