wavelength,ew,id
3644.695,58,Cr I
3644.978,38,Ca I
3645.082,97,Fe I
3645.186,7,Co I
3645.313,132,Se I
3645.413,32,Dy I
3645.497,90,Fe I
3645.827,103,Fe I
3645.935,20,V I
3646.097,23,Fe I
3646.196,52,Ti I
3646.504,23,CH
3646.988,58,Ce I
3647.095,14,Co I
3647.428,94,Fe I
3647.562,24,Fe I
3647.669,39,Co I
3647.851,970,Fe I
3648.228,18,Fe I
3648.53,23,Cr I
3648.998,52,Cr I
3649.298,124,Fe I
3649.511,134,Fe I
3649.698,44,Fe I
3650.037,115,Fe I
3650.285,115,Fe I
3650.367,16,Cr I
3650.72,9,Zr I
3651.039,20,Fe I
3651.197,31,Nb I
3651.26,16,Co I
3651.474,136,Fe I
3651.654,80,N I
3651.8,114,Cr I
3652.107,10,Fe I
3652.26,27,Fe I
3652.551,70,Co I
3653.12,7.5,Ce I
3653.352,44,Fe I
3653.501,98,T I
3653.761,66,Ce I
3653.912,102,Cr I
3654.386,13,CH
3654.446,25,Co I
3654.598,64,T I
3654.673,35,Fe I
3655.003,50,Fe I
3655.355,40,Fe I
3655.472,88,Fe I
3655.58,12,Zr I
3655.851,15,Ce I
3656.265,116,Cr I
3656.548,13,N I
3656.705,2.5,V I
3656.965,33,Co I
3657.137,72,Fe I
3657.423,48,Fe I
3657.571,5.5,Ru I
3657.711,57,N I
3658.099,71,T I
3658.167,8,Cr I
3658.274,4.5,V I
3658.864,3,Tb I
3659.124,1.5,Fe I
3659.234,10,Ce I
3659.524,98,Fe I
3659.762,103,T I
3660.329,60,Fe I
3660.411,32,Fe I
3660.636,51,T I
3660.921,9,Zr I
3661.038,28,CH
3661.151,5.5,Fe I
3661.258,14,Fe I
3661.372,64,Sm I
3661.957,70,N I
3662.1,5.5,La I
3662.17,59,Co I
3662.24,94,T I
3662.364,17,Cr I
3662.841,96,Cr I
3663.2,100,Cr I
3663.598,10,V I
3663.967,65,Fe I
3664.097,130,N I
3664.211,48,Sc I
3664.54,103,Fe I
3664.623,68,Y I
3664.701,63,Fe I
3664.828,35,CH
3664.945,29,Cr I
3665.028,37,CH
3665.188,12,Nd I
3665.437,9.5,Cr I
3665.85,17,Fe I
3665.997,34,Cr I
3666.064,105,Fe I
3666.164,11,Cr I
3666.25,105,Fe I
3666.539,83,Sc I
3666.644,26,Cr I
3666.77,75,Fe I
3666.849,16,Fe I
3666.931,92,Fe I
3667.261,103,Fe I
3667.424,8.5,Zr I
3667.75,15,V I
3667.996,89,Fe I
3668.217,82,Fe I
3668.46,53,Zr I
3668.891,47,Fe I
3668.969,65,T I
3669.155,78,Fe I
3669.244,103,N I
3669.406,40,V I
3669.526,120,Fe I
3669.686,52,Fe I
3669.839,24,Mn I
3670.032,143,Fe I
3670.22,4.5,Fe I
3670.431,120,N I
3670.542,37,Mn I
3670.817,86,Fe I
3670.91,13,Sm I
3671.222,8,V I
3671.276,37,Zr I
3671.524,43,Fe I
3671.682,67,T I
3672.124,16,Fe I
3672.316,10,Dy I
3672.606,6,Zr I
3672.712,68,Fc I
3672.803,5,Ce I
3673.226,44,CH
3673.426,40,V I
3673.543,9,Nd I
3673.683,31,Fe I
3673.888,63,Fe I
3674.15,178,N I
3674.413,58,Fe I
3674.923,2.5,Cr I
3674.999,11,Ir I
3675.294,42,Ca I
3675.449,25,Fe I
3675.689,38,V I
3675.766,24,Fe I
3675.976,18,Fe I
3676.322,102,Fe I
3676.562,66,Co I
3676.7,6,V I
3676.878,73,Fe I
3676.962,13,Mn I
3677.318,93,Fe I
3677.462,85,Fe I
3677.514,32,Fe I
3677.628,147,Fe I
3677.695,48,Cr I
3677.855,98,Cr I
3677.909,88,Fe I
3678.1,35,CH
3678.234,67,Ca I
3678.728,3,Mn I
3678.869,89,Fe I
3679.002,64,Fe I
3679.351,35,Fe I
3679.539,29,Fe I
3679.685,43,T I
3679.811,22,Cr I
3680.125,4.5,V I
3680.211,6.5,Cr I
3680.389,52,Fe I
3680.665,70,Fe I
3680.802,128,Fe I
3680.944,66,Fe I
3681.117,7,N I
3681.23,59,Fe I
3681.364,4.5,Co I
3681.653,72,Fe I
3681.884,30,Fe I
3682.024,15,Mn I
3683.092,166,Fe V
3683.48,10,Pb I
3683.623,52,Fe I
3684.222,8.5,Cr I
3684.322,10,V I
3684.462,11,Co I
3684.542,38,Fe I
3685.196,275,T I
3685.527,56,Cr I
3685.662,11,Fe I
3685.775,15,Nd I
3686.004,151,Fe I
3686.188,7,Cr I
3686.263,85,Fe I
3686.472,7.5,Co I
3686.674,22,Cr I
3686.787,44,Cr I
3687.102,73,Fe I
3687.241,14,Cr I
3687.334,13,Cr I
3687.466,564,Fe I
3687.551,3.5,Cr I
3687.66,59,Fe I
3687.76,2.5,Gd I
3687.866,16,CH
3687.986,1.5,Nb I
3688.071,32,V I
3688.173,47,Fe I
3688.874,27,Fe I
3689.002,52,Fe I
3689.08,40,Fe I
3689.32,68,N I
3689.469,158,Fe I
3689.63,9.5,Cr I
3689.88,79,Fe I
3690.066,15,Ru I
3690.281,39,V I
3690.459,63,Fe I
3690.731,86,Fe I
3691.176,8.5,Fe I
3691.314,50,Fe I
3691.963,3,Fe I
3692.226,40,V I
3692.36,6,Rh I
3692.44,2,O I
3692.57,4.5,Zr I
3692.65,47,Fe I
3692.816,11,Mn I
3693.032,86,Fe I
3693.12,35,Co I
3693.366,26,Co I
3693.478,61,Co I
3693.666,36,Mn I
3693.94,24,N I
3694.027,272,Fe I
3694.199,67,Yb I
3694.436,38,Ti I
3694.817,24,Dy I
3694.904,2,Ce I
3695.056,98,Fe I
3695.342,27,V I
3695.521,41,Fe I
3695.652,55,Fe I
3695.869,42,V I
3696.038,37,Fe I
3696.296,24,N I
3696.383,46,T I
3696.57,53,Mn I
3696.663,12,Ni I
3696.911,34,N I
3697.433,101,Fe I
3697.537,82,Fe I
3697.747,8.5,Gd I
3697.871,1,Nb I
3698.017,37,Cr I
3698.167,52,Zr I
3698.327,1,CN
3698.477,19,CH
3698.609,75,Fe I
3698.694,13,CH
3699.017,26,Co I
3699.144,69,Fe I
3699.396,5.5,Fe I
3699.573,2,Fe I
3699.74,3,Gd I
3699.825,32,Fe I
3699.925,1.5,Fe I
3700.045,7.5,T I
3700.132,8,V I
3700.269,34,Tm I
3700.6,28,Fe I
3700.805,4.5,Fe I
3700.995,186,V I
3701.375,9,Tm I
3701.612,3,N I
3701.729,20,Mn I
3701.869,1,Cr I
3702.037,68,Fe I
3702.493,77,Fe I
3702.825,3.5,CN
3702.961,10,CN
3703.448,14,Fe I
3703.545,114,Fe I
3703.696,62,Fe I
3703.829,78,Fe I
3703.86,235,H16
3704.083,103,Co I
3704.203,4,Fe I
3704.297,50,T I
3704.469,98,Fe I
3704.704,46,V I
3704.797,5.5,Fe I
3704.913,3,CN
3705.033,33,V I
3705.113,7,N I
3705.263,9,Fe I
3705.577,562,Fe I
3705.709,44,Fe I
3706.037,290,Ca I
3706.22,70,T I
3706.77,1.5,Sm I
3706.882,12,CN
3707.052,121,Fe I
3707.176,10,Sm I
3707.329,78,CN
3707.465,66,Co I
3707.562,83,T I
3707.826,88,Fe I
3707.929,114,Fe I
3708.188,16,Fe I
3708.435,3,Sm I
3708.611,53,Fe I
3708.825,45,Co I
3709.031,60,Fe I
3709.256,573,Fe I
3709.401,8,CN
3709.537,55,Fe I
3709.67,56,Fe I
3709.953,39,Ce I
3710.075,7.5,Cr I
3710.292,74,Y I
3710.881,6,Sm I
3711.115,7.5,V I
3711.229,83,Fe I
3711.301,12,Fe I
3711.412,66,Fe I
3711.535,6.5,Sm I
3711.665,10,Co I
3711.784,3.5,CN
3711.94,24,Fe I
3711.97,333,H15
3712.18,11,Co I
3712.4,8.5,Fe I
3712.527,2,V I
3712.717,9,Gd I
3712.767,6,Sm I
3712.898,111,Cr I
3713.34,14,N I
3713.554,7.5,La I
3713.714,22,N I
3713.834,2.5,CN
3713.97,2,V I
3714.157,0.5,Zr I
3714.3,2,Y I
3714.407,3,Cr I
3714.787,28,Zr I
3715.18,58,Cr I
3715.397,105,T I
3715.799,3.5,T I
3715.916,80,Fe I
3716.05,6.5,CN
3716.451,166,Gd I
3716.84,1.5,CN
3716.945,2,CN
3717.072,3,Nb I
3717.271,2.5,Ti I
3717.397,48,Ti I
3717.836,28,Fe I
3718.152,38,V I
3718.228,12,CN
3718.412,77,Fe I
3718.615,10,CN
3718.839,7,CN
3719.265,3.5,Hf I
3719.458,7,N I
3719.947,1664,Fe I
3720.26,11,Zr I
3720.404,10,CN
3720.48,10,CN
3720.79,1.5,CN
3721.185,58,Fe I
3721.277,45,Fe I
3721.399,41,Fe I
3721.506,53,Fe I
3721.635,110,T I
3721.93,66,Fe I
3721.94,536,H14
3722.028,42,Fe I
3722.139,4,V I
3722.236,36,Fe I
3722.498,22,N I
3722.588,694,T I
3722.758,8,Fe I
3723.284,7,Sb I
3723.392,9.5,Cr I
3723.51,10,Nd I
3723.609,47,T I
3724.092,43,T I
3724.258,6,N I
3724.385,124,Fe I
3724.574,60,Ti I
3724.743,8,CN
3724.829,52,N I
3725.158,42,Ti I
3725.306,12,Fe I
3725.496,67,Fe I
3725.665,7,Fe I
3726.023,14,N I
3726.065,3.5,Fe I
3726.23,0.5,Nb I
3726.48,2,CN
3726.665,37,Co I
3726.92,202,Fe I
3727.026,36,Fe I
3727.347,59,V I
3727.531,8.5,Fe I
3727.685,14,Fe I
3728.042,40,Ru I
3728.137,12,Nd I
3728.332,30,V I
3728.402,5.5,Ce I
3728.48,5,Sm I
3728.671,73,Fe I
3728.862,5.5,Co I
3728.954,80,N I
3729.072,7.5,CN
3729.18,3,CN
3729.339,10,Fe I
3729.524,7,Zr I
3729.813,83,Ti I
3730.012,22,CN
3730.392,118,Fe I
3730.483,102,Co I
3730.59,15,CN
3730.756,106,N I
3730.95,87,Fe I
3731.261,31,Sm I
3731.381,80,Fe I
3731.621,12,CN
3731.814,1.5,CN
3731.93,22,Mn I
3732.035,54,Cr I
3732.406,142,Fe I
3732.634,11,CN
3732.752,64,V I
3732.885,3.5,CN
3732.985,4,CN
3733.33,228,Fe I
3733.492,77,Co I
3734.135,17,Co I
3734.285,9,CN
3734.536,13,CN
3734.874,3027,Fe I
3735.334,69,Fe I
3735.444,8,CN
3735.551,5,Nd I
3735.7,15,T I
3735.898,27,Co I
3735.964,22,Sm I
3736.044,3.5,CN
3736.476,11,CN
3736.816,39,N I
3736.917,290,Ca I
3737.141,1071,Fe I
3737.576,78,Cr I
3737.758,6,CN
3737.986,1,V I
3738.069,5.5,Nd I
3738.139,5,Zr I
3738.363,136,Cr I
3738.758,6,V I
3739.118,53,Fe I
3739.228,104,N I
3739.325,50,Fe I
3739.529,112,Fe I
3739.783,55,N I
3740.064,65,Fe I
3740.464,4,CN
3740.72,2,Nb I
3741.065,93,T I
3741.198,3.5,CN
3741.312,13,Sm I
3741.479,56,Fe I
3741.645,133,T I
3741.833,5,CN
3741.903,8.5,CN
3742.079,20,Fe I
3742.146,66,Fe I
3742.95,75,Fe I
3743.368,592,Fe I
3743.485,92,Fe I
3743.585,70,Cr I
3743.779,47,Fe I
3743.888,74,Cr I
